Student ID,Mathematics,Statistics,Business Mathematics,Further Mathematics
S0001,49,59,65,62
S0002,80,50,78,55
S0003,63,65,84,77
S0004,55,76,98,45
S0005,44,79,97,90
S0006,75,93,98,99
S0007,93,94,53,44
S0008,66,75,76,67
S0009,60,39,95,95
S0010,99,42,72,95
S0011,41,63,90,41
S0012,80,98,76,34
S0013,55,58,50,77
S0014,60,74,60,71
S0015,86,74,45,54
S0016,72,55,83,73
S0017,92,35,50,37
S0018,92,65,74,62
S0019,80,75,46,56
S0020,94,66,49,73
S0021,50,51,63,42
S0022,52,49,63,66
S0023,82,48,100,43
S0024,95,46,63,37
S0025,45,99,62,63
S0026,98,52,51,57
S0027,49,92,57,86
S0028,82,98,79,62
S0029,77,58,81,59
S0030,93,83,88,85
S0031,61,37,81,56
S0032,78,98,71,30
S0033,50,44,61,100
S0034,96,46,47,95
S0035,85,37,94,46
S0036,75,75,98,61
S0037,58,91,67,50
S0038,97,60,63,47
S0039,53,55,67,76
S0040,40,84,98,37
S0041,83,90,60,99
S0042,77,92,80,97
S0043,40,56,63,60
S0044,50,80,62,36
S0045,45,83,56,44
S0046,93,52,100,56
S0047,88,58,51,69
S0048,44,46,49,71
S0049,47,92,89,55
S0050,87,63,96,79
S0051,62,83,54,77
S0052,79,59,83,35
S0053,100,72,70,73
S0054,86,35,83,46
S0055,83,67,63,32
S0056,86,91,80,90
S0057,73,74,52,39
S0058,41,92,48,61
S0059,88,80,48,39
S0060,66,43,100,91
S0061,64,85,99,55
S0062,76,54,45,82
S0063,94,92,90,75
S0064,95,86,61,55
S0065,78,48,60,51
S0066,79,65,50,75
S0067,64,96,71,78
S0068,50,43,82,90
S0069,78,62,73,71
S0070,74,71,58,92
S0071,72,85,73,35
S0072,46,82,88,74
S0073,59,58,52,70
S0074,84,45,90,85
S0075,93,50,91,32
S0076,82,79,52,69
S0077,61,46,51,53
S0078,81,40,93,54
S0079,86,38,71,44
S0080,89,75,75,37
S0081,97,51,83,90
S0082,86,39,80,85
S0083,63,55,74,79
S0084,100,69,66,85
S0085,51,73,93,91
S0086,52,87,57,90
S0087,84,63,46,52
S0088,94,74,97,33
S0089,75,75,98,92
S0090,40,46,55,41
S0091,53,73,62,46
S0092,77,52,47,96
S0093,61,49,81,94
S0094,98,75,78,57
S0095,100,96,66,57
S0096,96,60,59,93
S0097,72,45,92,81
S0098,60,55,75,31
S0099,77,51,92,58
S0100,100,43,100,53
S0101,90,74,95,75
S0102,92,97,91,64
S0103,86,64,52,93
S0104,86,39,92,88
S0105,62,52,78,80
S0106,77,97,67,54
S0107,85,62,75,32
S0108,56,82,75,54
S0109,50,86,55,95
S0110,74,78,57,90
S0111,57,45,86,93
S0112,97,94,73,40
S0113,99,70,57,51
S0114,69,38,76,59
S0115,50,81,65,34
S0116,100,57,97,94
S0117,75,55,74,33
S0118,66,41,95,48
S0119,47,100,95,32
S0120,63,47,92,83
S0121,66,74,53,36
S0122,64,45,81,90
S0123,46,85,58,90
S0124,52,75,77,74
S0125,53,70,88,47
S0126,93,88,55,33
S0127,86,41,98,56
S0128,87,51,60,93
S0129,47,96,62,60
S0130,62,52,59,79
S0131,46,42,66,69
S0132,89,41,86,70
S0133,86,70,49,81
S0134,95,63,79,78
S0135,99,67,72,77
S0136,75,54,65,91
S0137,82,60,57,86
S0138,58,48,71,56
S0139,71,78,75,69
S0140,46,64,73,50
S0141,96,37,72,82
S0142,94,88,99,97
S0143,95,94,85,48
S0144,76,51,83,43
S0145,83,53,71,63
S0146,95,86,52,60
S0147,54,78,49,52
S0148,76,73,90,42
S0149,63,52,67,58
S0150,67,54,80,36
S0151,93,35,60,91
S0152,92,67,45,59
S0153,91,54,81,68
S0154,63,54,96,81
S0155,77,74,79,75
S0156,91,81,94,71
S0157,77,75,100,93
S0158,89,97,77,75
S0159,87,96,88,51
S0160,43,73,48,87
S0161,44,56,82,86
S0162,41,67,98,97
S0163,77,72,49,76
S0164,87,83,52,63
S0165,87,93,49,39
S0166,81,48,76,39
S0167,65,58,95,77
S0168,95,65,85,36
S0169,74,76,90,34
S0170,57,51,95,59
S0171,84,86,75,77
S0172,98,51,99,83
S0173,70,51,72,54
S0174,59,42,69,75
S0175,78,98,59,43
S0176,45,80,88,30
S0177,86,52,84,34
S0178,84,43,83,68
S0179,42,87,59,75
S0180,50,59,74,60
S0181,42,79,46,91
S0182,75,44,82,42
S0183,64,82,97,79
S0184,89,86,74,81
S0185,40,63,47,79
S0186,80,62,57,52
S0187,81,90,74,45
S0188,67,95,98,85
S0189,96,89,64,60
S0190,81,95,79,61
S0191,49,85,86,35
S0192,72,98,100,38
S0193,91,79,95,32
S0194,42,40,59,96
S0195,61,50,76,48
S0196,51,86,80,63
S0197,45,62,78,38
S0198,98,67,94,52
S0199,97,70,70,78
S0200,89,39,81,60
